Datei,Gruppe,Art,Ruf,Dur,Sfreq,Efreq,Stime,NMod,FMod,FRmin,Rmin,tRmin,Rlastms,Flastms,Fknee,Alphaknee,Rknee,ptknee,Fmk,Alphamk,Rmk,ptmk,Fmed,Fmidt,Fmidf,tmidf,ptmidf,PFmidt,Rmidt,Rmed,Rges,Dfm,Dqcf,Typ,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X62,X64,X66,X68,X70,X72,X74,X76,X78,X80,X82,X84,X86,X88,X90,X92,X94,X96,X98,X100,X102,X104,X106,X108,X110,X112,X114,X116,X118,X120,X122,X124,X126,X128,X130,X132,X134,X136,X138,X140,X142,X144,X146,X148
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00051.raw,Nyctaloid,Eser,3,7.1000314,45.2597313,26.1909027,300.178772,77.5,27.0,29.3083649,0.7653618,-2.7999997,1.0975838,26.4263268,39.6872292,9.3441067,-0.4899812,0.1111111,29.0562878,-2.9280849,-0.1286595,0.6388889,30.7086639,30.7086639,35.5960121,1.9,0.2676044,0.2471291,-0.1948135,-0.2053146,-0.268575,6.9000001,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,28.0,65.0,77.5,72.75,66.5,54.0,43.25,37.5,33.0,30.0,28.0,25.25,23.25,23.5,22.0,18.5,16.75,14.5,11.75,9.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,28,7.2002501,47.3746338,26.9652958,3635.185791,82.5,27.0,26.5603065,0.7081413,-0.4000001,0.9129715,26.9036942,36.598053,13.1986256,-0.5082226,0.1917808,27.4638634,-3.0667901,-0.112932,0.8356164,31.0832653,31.0832653,36.9497681,1.4,0.1944377,0.2186295,-0.218452,-0.1935225,-0.283463,6.0,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,60.25,82.5,76.25,63.75,53.25,47.0,43.75,43.25,41.5,33.25,23.5,16.75,14.0,14.75,15.0,13.5,12.0,11.75,11.5,10.25,8.0,4.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00051.raw,Nyctaloid,Eser,5,7.3000002,36.7775345,26.5546284,570.1013794,116.5,26.0,25.615099,0.5677795,-0.6999998,0.0105667,25.58671,32.5410957,5.3091974,-0.2897761,0.1756757,26.0402107,-2.9246469,-0.1030478,0.8243243,28.4704857,28.4704857,30.9677086,2.0,0.2739726,0.2850862,-0.1210539,-0.1446819,-0.1400398,5.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,87.0,116.5,97.25,80.5,68.25,54.75,45.75,37.25,31.0,28.0,27.75,22.25,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,33,7.3005004,40.586319,28.0164833,4481.7978516,135.25,28.0,27.7032852,0.590229,-1.8000002,0.0984573,27.8988152,37.5659828,10.045784,-0.5070367,0.0675676,27.9283524,-4.2057457,0.0268993,0.8108108,29.5141296,29.5141296,34.1032524,1.4,0.1917677,0.1460686,-0.1437888,-0.1638622,-0.1721895,3.5,2.1000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.25,129.75,135.25,86.75,58.25,47.0,41.0,37.0,31.25,26.0,24.25,20.75,17.0,15.0,9.75,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/080808-NORRBYXXX4-0042.raw,Nyctaloid,Enil,2,7.5000005,32.8039589,28.673399,358.3926697,206.5,29.0,29.9834957,0.1696014,-4.2000003,-1.1645317,28.8618145,32.1117783,5.5978112,-0.1234133,0.0526316,29.2034473,-14.9486904,-0.0013149,0.9342105,29.7680283,29.7680283,30.6161041,2.3,0.3066666,0.3061858,-0.0670567,-0.0526733,-0.0550741,0.9,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,156.5,206.5,161.75,108.25,56.75,13.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,2,7.5000162,34.9812546,25.7879028,197.3165894,148.75,26.0,26.6770458,0.2455521,-0.5,-0.3215408,26.6244106,33.4843941,5.5323687,-0.3209348,0.0526316,26.6893234,-14.9487047,-0.0930417,0.9342105,28.0904922,28.0904922,30.3845787,1.9,0.2533328,0.2504624,-0.077467,-0.0976009,-0.122578,3.4000001,1.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,61.0,148.75,143.25,95.5,78.25,69.0,54.25,41.75,33.75,18.75,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00051.raw,Nyctaloid,Eser,17,7.7001252,31.083868,27.7504578,1970.4226074,170.0,26.0,25.7677879,0.2261543,-1.9000001,-0.4271698,25.3699894,29.2948399,3.7758687,-0.1273808,0.1794872,25.8054237,-5.3576894,-0.0402822,0.7948718,27.1313858,27.046257,28.1688499,2.5,0.32467,0.3081634,-0.0663192,-0.0754509,-0.043291,1.7,2.9000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,143.25,170.0,135.0,98.5,76.5,59.75,30.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00051.raw,Nyctaloid,Eser,1,7.9000006,43.5526543,26.4348145,44.8396187,124.5,26.0,25.9121456,0.2678299,-1.0,-0.5956268,26.0774403,40.3789711,10.3470707,-0.5101686,0.0625,26.4348145,-4.4545979,0.0595622,1.0,29.1677723,29.1677723,34.7257042,1.9,0.2405063,0.1851726,-0.1484566,-0.1520729,-0.2166815,5.3000002,1.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.75,63.75,124.5,109.75,74.75,64.75,51.25,36.0,27.5,24.75,26.0,26.0,22.5,21.25,22.75,22.75,20.75,18.0,14.0,8.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/080808-NORRBYXXX4-0042.raw,Nyctaloid,Enil,1,7.9000044,42.4535904,29.5832615,45.5695343,138.0,30.0,29.7380047,1.416626,-1.6999998,-0.2235985,29.6220608,37.2860489,7.5360212,-0.3918085,0.1375,30.0321407,-13.6468639,-0.0993664,0.875,31.9760857,31.9760857,35.8024902,1.6,0.2025315,0.2123482,-0.1094279,-0.1366749,-0.1629156,3.3,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,115.0,138.0,106.25,85.5,68.5,48.75,37.75,31.75,26.0,21.5,19.75,20.25,19.0,11.25,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,27,8.0,49.5328331,25.7239342,3479.0175781,92.0,26.0,25.5345554,0.3141785,-0.4000001,0.6019974,25.7248592,43.4874268,11.7034445,-0.9535131,0.0617284,29.3152847,-2.8385315,-0.1568577,0.5555556,29.9726467,29.9726467,37.5258408,1.4,0.175,0.1854669,-0.1706014,-0.1635389,-0.2976112,5.8000002,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,64.0,92.0,86.75,72.0,64.25,57.75,49.25,41.0,34.0,29.0,23.75,19.75,17.75,16.5,15.5,14.5,13.5,12.25,10.5,9.75,9.75,8.5,7.25,6.25,3.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
